Установка;Имя тега;Описание тега;Измеряемы параметер;Ед. Изм.;Дата/Время значения тега;Значение тега
35/11-1000 ;35-11-1000:FI39.F;Расход нестаб. катализата от Н112/1,2 в К-102;Объемный расход;нм3/ч;2022-10-02 11:58:54.049146+03;13.545484
35/11-1000 ;35-11-1000:FI39.F;Расход нестаб. катализата от Н112/1,2 в К-102;Объемный расход;нм3/ч;2022-10-02 12:29:08.836109+03;13.510643
35/11-1000 ;35-11-1000:FI39.F;Расход нестаб. катализата от Н112/1,2 в К-102;Объемный расход;нм3/ч;2022-10-03 10:54:29.847873+03;13.603967
35/11-1000 ;35-11-1000:FI39.F;Расход нестаб. катализата от Н112/1,2 в К-102;Объемный расход;нм3/ч;2022-10-03 11:24:55.046579+03;13.580711
35/11-1000 ;35-11-1000:PI92.P;Блок каталитического риформинга. Давление на выходе из Р-104.;Давление;кгс/см2;2022-10-02 11:42:55.721348+03;11.128077
35/11-1000 ;35-11-1000:PI92.P;Блок каталитического риформинга. Давление на выходе из Р-104.;Давление;кгс/см2;2022-10-02 12:13:24.551383+03;11.133948
35/11-1000 ;35-11-1000:PI92.P;Блок каталитического риформинга. Давление на выходе из Р-104.;Давление;кгс/см2;2022-10-02 12:43:48.830284+03;11.140553
35/11-1000 ;35-11-1000:PI92.P;Блок каталитического риформинга. Давление на выходе из Р-104.;Давление;кгс/см2;2022-10-03 10:53:18.183728+03;11.080724
35/11-1000 ;35-11-1000:PI92.P;Блок каталитического риформинга. Давление на выходе из Р-104.;Давление;кгс/см2;2022-10-03 11:23:40.012156+03;11.077019
35/11-1000 ;35-11-1000:TIC2.T;Температура 3-й тарелки К-101;Температура;°C;2022-10-02 11:54:59.862203+03;13.042174
35/11-1000 ;35-11-1000:TIC2.T;Температура 3-й тарелки К-101;Температура;°C;2022-10-02 12:25:28.876518+03;12.92058
35/11-1000 ;35-11-1000:TIC2.T;Температура 3-й тарелки К-101;Температура;°C;2022-10-03 10:44:01.57588+03;13.049327
35/11-1000 ;35-11-1000:TIC2.T;Температура 3-й тарелки К-101;Температура;°C;2022-10-03 11:14:22.666798+03;13.056479
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:35:38.889539+03;145.14507
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:36:35.979423+03;145.19617
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:38:34.68513+03;145.58649
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:39:35.148789+03;145.54666
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:40:36.024925+03;143.80693
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:41:37.664779+03;142.46846
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:42:35.280376+03;145.54675
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:43:37.635386+03;144.6266
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:44:35.971251+03;143.47205
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:45:39.809309+03;145.45316
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:46:38.759904+03;145.83646
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:47:36.539303+03;146.17863
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:48:36.893109+03;144.71408
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:49:38.639997+03;142.20047
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:50:36.794445+03;141.24796
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:51:38.120325+03;143.33725
Г-43-107 ;G43-107:FCA3-260.F;Расход холодного орошения в К-304;Объемный расход;м3/ч;2022-10-02 11:52:38.267803+03;141.33655
